"Location","touristArrivals","Living.Rank","Living.Cost.Index","Restaurant.Price.Index","CrimeRank","CrimeIndex","SafetyIndex","PR.rating","CL.rating","Sanitation.Avg","DrinkingWater.Avg","WonderCount"
"Argentina",7400000,4,34.69,33.32,51.6666666666667,66.2733333333333,33.7266666666667,2,2,94.6746055769231,94.6746055769231,0
"Australia",9500000,6,77.75,72.95,212.4375,46.27375,53.72625,1,1,99.4598825,99.4598825,1
"Austria",31900000,7,71.04,66.03,387,27.115,72.885,1,1,99.5991384722222,99.5991384722222,0
"Belgium",9300000,14,72.61,78.63,234.25,43.4025,56.5975,1,1,99.8807972222222,99.8807972222222,0
"Bulgaria",9300000,21,38.38,32.44,272.5,39.63,60.37,2,2,98.7129465277778,98.7129465277778,0
"Cambodia",6600000,22,49.11,22.9,133,53.56,46.44,6.3,5,49.4400098148148,49.4400098148148,0
"Canada",22100000,24,70.22,67.86,228.684210526316,44.0131578947368,55.9868421052632,1,1,98.9007222222222,98.9007222222222,1
"China",65700000,26,41.77,28.37,333.5,33.53,66.47,7,6,88.9210648611111,88.9210648611111,3
"Croatia",17400000,29,48.94,41.29,394.666666666667,26.1366666666667,73.8633333333333,1,2,97.0752409722222,97.0752409722222,0
"Denmark",13300000,33,84.12,98.75,411,24.27,75.73,1,1,98.8546141666667,98.8546141666667,0
"Egypt",11300000,36,29.52,23.42,218.5,44.96,55.04,5.9,5.5,98.5709544444444,98.5709544444444,4
"France",89400000,42,74.13,71.84,134.5,53.9066666666667,46.0933333333333,1,1.6,99.2575056944444,99.2575056944444,0
"Germany",39600000,44,65.58,60.91,297,36.858,63.142,1,1,99.95,99.95,0
"Greece",31300000,46,56.22,52.19,112.5,55.61,44.39,1.6,2,99.73919375,99.73919375,2
"Hungary",16900000,51,40.66,32.82,318,35.06,64.94,2.4,2.4,91.6623883333333,91.6623883333333,0
"India",17900000,53,24.43,17.56,236.12,43.3524,56.6476,2,3.2,74.7161345833333,74.7161345833333,1
"Indonesia",15500000,54,35.85,17.74,159,50.83,49.17,2,3.9,83.1709046296296,83.1709046296296,0
"Ireland",10900000,57,76.05,80.4,250.2,42.074,57.926,1,1,96.8678154166667,96.8678154166667,0
"Italy",64500000,59,66.47,70.58,203,47.1116666666667,52.8883333333333,1.1,1,97.5213233333333,97.5213233333333,3
"Japan",32300000,62,77.03,45.4,381,28.07,71.93,1,1.1,98.3922358333333,98.3922358333333,0
"Malaysia",26100000,75,37.02,20.84,154.666666666667,52.39,47.61,4,4,95.3321544444444,95.3321544444444,0
"Mexico",45000000,79,35.35,32.67,169.307692307692,52.1653846153846,47.8346153846154,3,3.2,79.6496847222222,79.6496847222222,3
"Morocco",12900000,83,33.83,24.52,209,45.78,54.22,5,4.5,66.5850412037037,66.5850412037037,0
"Netherlands",20100000,86,75.66,76.35,385.5,27.235,72.765,1,1,99.9939423611111,99.9939423611111,1
"Philippines",8300000,98,37.06,20.61,212.714285714286,46.04,53.96,3,3.3,67.0671884259259,67.0671884259259,0
"Poland",22100000,99,38.95,33.52,331.571428571429,33.3971428571429,66.6028571428571,1.4,1.6,97.3301811538462,97.3301811538462,0
"Portugal",24600000,100,47.94,40.26,278.333333333333,39.1666666666667,60.8333333333333,1,1,98.1454413888889,98.1454413888889,0
"Saudi Arabia",13600000,106,50.41,35.5,379.666666666667,28.5166666666667,71.4833333333333,7,7,98.5654905555556,98.5654905555556,0
"Singapore",15100000,110,83.98,61.17,386,27.22,72.78,4,4,100,100,0
"South Africa",10200000,114,42.09,41.33,12.1666666666667,77.3366666666667,22.6633333333333,2,2,87.0868572222222,87.0868572222222,0
"Spain",83700000,116,53.88,53.96,328.888888888889,32.8466666666667,67.1533333333333,1,1,99.6532951388889,99.6532951388889,0
"Sweden",7400000,119,71.74,72.61,220.4,44.884,55.116,1,1,99.9849991666667,99.9849991666667,0
"Switzerland",11800000,120,123.35,122.09,427.833333333333,21.1566666666667,78.8433333333333,1,1,98.5349665277778,98.5349665277778,0
"Thailand",39800000,124,43.21,22.59,296.666666666667,37.1133333333333,62.8866666666667,5.9,4.7,97.2776140740741,97.2776140740741,0
"Tunisia",9400000,126,27.87,15.96,196,47.14,52.86,2,3.1,85.9905538888889,85.9905538888889,0
"Turkey",51200000,127,28.31,18.4,338.166666666667,32.01,67.99,4.1,5.1,96.9816592592593,96.9816592592593,3
"Ukraine",14200000,129,30.71,25.75,192.2,47.742,52.258,3.2,3.2,91.9592269444444,91.9592269444444,0
"United Arab Emirates",16700000,130,58.33,61.53,448.5,14.825,85.175,6.5,6,96.0664811111111,96.0664811111111,0
"Uzbekistan",6700000,134,27.31,24.22,329,33.86,66.14,7,6.6,75.8270266666667,75.8270266666667,0
