,ResortName,Place,room,bed,Condition,Price,Rating,TotalReviews
0,Horizon Village & Resort SHA Plus,Doi Saket,Standard Double or Twin Room with Lake View,Beds: 1 double or 2 singles,Very good,US$32,8.4,100 reviews
1,The Castello Resort,Ko Larn,Budget Double Room,1 double bed,Very good,US$34,8.3,641 reviews
2,Arinara Beach Resort Phuket - SHA Extra Plus,Bang Tao Beach,Premium Studio Room,Entire studio • 1 bathroom • 538.2feet²2 single beds,Very good,US$350,8.1,"1,040 reviews"
3,Kaomai Lanna Resort,San Pa Tong,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$51,8.6,150 reviews
5,X2 Pattaya Oceanphere,Bang Sare,One Bedroom Pool Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,829.9feet²1 extra-large double bed",Very good,US$192,8.3,184 reviews
13,"Tawaravadee Resort, BW Signature Collection","304 Industrial Park, Si Maha Phot",Superior Double Room,1 double bed,Very good,US$46,8.3,106 reviews
16,Centara Chaan Talay Resort And Villas Trat,Ban Khlong Muang,One-Bedroom Family Suite,2 double beds,Good,US$70,7.8,136 reviews
17,The Sunnery Ville,Lom Kao,Standard Double Room,1 double bed,Very good,US$22,8.4,118 reviews
18,Anahata Resort - SHA Plus,Lipa Noi,Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 430.6feet²1 double bed,Fabulous,US$79,8.9,286 reviews
19,Anda Sea Tales Resort-SHA Plus,Ao Nang Beach,Deluxe Double Room with Private Pool,1 large double bed,Fabulous,US$79,8.7,546 reviews
20,GajaPuri Resort Koh Chang,"Kai Bae Beach, Ko Chang",Deluxe Room,1 extra-large double bed,Superb,US$125,9,372 reviews
21,Khwan Beach Resort - Luxury Glamping and Pool Villas Samui - Adults Only - SHA Extra Plus,Mae Nam,Luxury One-Bedroom Tented Villa,Tent1 large double bed,Very good,US$130,8.5,517 reviews
25,Rayong Marriott Resort & Spa,Klaeng,Deluxe King Room with Mountain View,"2 beds (1 double, 1 extra-large double)",Very good,US$92,8,334 reviews
28,Maneechan Resort - SHA Extra Plus,Chanthaburi,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$59,8.6,220 reviews
29,Sripakpra Boutique Resort Phatthalung,Ban Pak Pra (1),Superior Villa,Entire studio • 1 bathroom • 538.2feet²Multiple bed types,Very good,US$95,8.3,152 reviews
30,The Waters Khao Lak by Katathani - SHA Extra Plus,"Bang Niang Beach, Khao Lak",Upper Pool Access Room,Beds: 1 double or 2 singles,Fabulous,US$75,8.7,308 reviews
33,Centra by Centara Hotel Mae Sot,Mae Sot,Deluxe King Room,1 extra-large double bed,Good,US$47,7.7,133 reviews
34,Seavana Koh Mak Beach Resort,Ko Mak,Superior Double Room with Spa Bath,1 extra-large double bed,Superb,US$136,9.2,364 reviews
35,Horizon Village & Resort SHA Plus,Doi Saket,Standard Double or Twin Room with Lake View,Beds: 1 double or 2 singles,Very good,US$32,8.4,100 reviews
36,The Castello Resort,Ko Larn,Budget Double Room,1 double bed,Very good,US$34,8.3,641 reviews
37,Arinara Beach Resort Phuket - SHA Extra Plus,Bang Tao Beach,Premium Studio Room,Entire studio • 1 bathroom • 538.2feet²2 single beds,Very good,US$350,8.1,"1,040 reviews"
38,Kaomai Lanna Resort,San Pa Tong,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$51,8.6,150 reviews
39,KC Grande Resort & Spa - SHA Extra Plus,"White Sand Beach, Ko Chang",Deluxe-Hillside,Beds: 1 double or 2 singles,Fabulous,US$170,8.7,"1,403 reviews"
40,X2 Pattaya Oceanphere,Bang Sare,One Bedroom Pool Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,829.9feet²1 extra-large double bed",Very good,US$192,8.3,184 reviews
41,Paradise KohYao - SHA Extra Plus,Ko Yao Noi,Superior Studio with Free Kayak 30 minutes for 2 persons per stay,Multiple bed types,Fabulous,US$226,8.9,359 reviews
42,Escape Beach Resort - SHA Extra Plus Certified,Mae Nam,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 301.4feet²1 extra-large double bed,Very good,US$68,8.1,"1,466 reviews"
43,Sea Dance Resort,Choeng Mon Beach,Deluxe Cottage,Entire bungalow • 1 bedroom • 1 bathroom • 409feet²1 large double bed,Superb,US$217,9.1,437 reviews
44,Explorar Koh Samui - Adults Only Resort and Spa,Mae Nam,Deluxe Double or Twin Room with Balcony,1 extra-large double bed,Superb,US$232,9,166 reviews
45,Amatara Welleisure Resort - SHA Extra Plus,Panwa Beach,Bay View Suite,Private suite1 extra-large double bed,Fabulous,US$341,8.7,681 reviews
46,Katiliya Mountain Resort And Spa,Mae Salong Nai,Standard Suite,Private suite1 extra-large double bed,Fabulous,US$129,8.7,163 reviews
47,"Tawaravadee Resort, BW Signature Collection","304 Industrial Park, Si Maha Phot",Superior Double Room,1 double bed,Very good,US$46,8.3,106 reviews
48,Outrigger Surin Beach Resort - SHA Extra Plus,Surin Beach,Grand Surin Suite 1 King,Private suite • 1 bedroom • 1 living room • 1 bathroom • 753.5feet²1 extra-large double bed,Superb,US$749,9,278 reviews
49,"Chanalai Flora Resort, Kata Beach - SHA Plus",Kata Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$184,8.6,697 reviews
50,The Sunnery Ville,Lom Kao,Standard Double Room,1 double bed,Very good,US$22,8.4,118 reviews
51,Anahata Resort - SHA Plus,Lipa Noi,Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 430.6feet²1 double bed,Fabulous,US$79,8.9,286 reviews
52,Anda Sea Tales Resort-SHA Plus,Ao Nang Beach,Deluxe Double Room with Private Pool,1 large double bed,Fabulous,US$88,8.7,546 reviews
53,GajaPuri Resort Koh Chang,"Kai Bae Beach, Ko Chang",Deluxe Room,1 extra-large double bed,Superb,US$147,9,372 reviews
54,Khwan Beach Resort - Luxury Glamping and Pool Villas Samui - Adults Only - SHA Extra Plus,Mae Nam,Luxury One-Bedroom Tented Villa,Tent1 large double bed,Very good,US$130,8.5,517 reviews
55,Andaman Cannacia Resort & Spa - SHA Extra Plus,"Kata Noi Beach, Kata Beach",Deluxe Double or Twin Room,Multiple bed types,Good,US$111,7.7,485 reviews
56,Island Escape by Burasari - SHA Extra Plus,Phuket Town,Deluxe Room with Schedule Boat Transfer,Beds: 1 double or 2 singles,Very good,US$190,8.5,"1,245 reviews"
57,Maneechan Resort - SHA Extra Plus,Chanthaburi,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$59,8.6,220 reviews
58,The Waters Khao Lak by Katathani - SHA Extra Plus,"Bang Niang Beach, Khao Lak",Upper Pool Access Room,Beds: 1 double or 2 singles,Fabulous,US$75,8.7,308 reviews
59,"Chanalai Romantica Resort - Adults Only, Kata Beach - SHA Plus",Kata Beach,Superior Double or Twin Room,1 double bed,Fabulous,US$208,8.7,526 reviews
60,Rajapruek Samui Resort - SHA Plus,Lipa Noi,Deluxe Double Room,1 extra-large double bed,Good,US$48,7.1,111 reviews
61,Sunset Beach Villas,"Haad Rin Nai, Haad Rin",Garden Bungalow with Twin bed,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Very good,US$129,8.3,230 reviews
62,Samui Resotel Beach Resort - SHA extra plus,"Chaweng Beachfront, Chaweng",Standard Double Room,1 extra-large double bed,Very good,US$129,8.1,783 reviews
63,Amari Koh Samui,"Chaweng Beachfront, Chaweng",Superior King Room - Garden Wing,1 extra-large double bed,Very good,US$162,8.4,277 reviews
64,Nautilus Right on the Beach - Adult Only - SHA Extra Plus,"Phra Ae Beach, Ko Lanta",Standard Double Room,1 extra-large double bed,Superb,US$78,9,51 reviews
65,Outrigger Khao Lak Beach Resort - SHA Extra Plus,"Bangsak Beach, Khao Lak",Deluxe Garden Balcony - King Bed,1 extra-large double bed,Superb,US$214,9.1,341 reviews
66,Sukantara Cascade Resort and Spa,Mae Rim,Deluxe Jacuzzi Panorama,1 large double bed,Fabulous,US$140,8.9,69 reviews
67,Crystal Bay Beach Resort,"Thong Takian, Lamai",Standard Triple Room,"2 beds (1 extra-large double, 1 sofa bed)",Good,US$78,7.8,412 reviews
68,Baansuan Resort,Don Sak,Superior Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 193.8feet²1 large double bed,Good,US$19,7.9,289 reviews
69,Khunyuam Resort,Ban Khun Yuam,Budget Double Room,1 extra-large double bed,Fabulous,US$24,8.7,184 reviews
70,Banyan Tree Phuket - SHA Extra Plus,"Laguna Phuket, Bang Tao Beach",Banyan Pool Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,829.9feet²1 extra-large double bed",Fabulous,US$672,8.8,273 reviews
72,The Tubkaak Krabi Boutique Resort - SHA Extra Plus,Tab Kaek Beach,Superior Room,1 large double bed,Superb,US$362,9.1,262 reviews
73,Nautilus Right on the Beach - Adult Only - SHA Extra Plus,"Phra Ae Beach, Ko Lanta",Standard Double Room,1 extra-large double bed,Superb,US$73,9,51 reviews
74,Fisherman's Resort Haad Chao Samran,Haad Chao Samran,Superior Double or Twin Room,Beds: 1 double or 2 singles,Very good,US$64,8.5,218 reviews
75,Melia Koh Samui - SHA Extra Plus,Choeng Mon Beach,Deluxe Room,Multiple bed types,Superb,US$255,9.2,699 reviews
78,Lomtalay Resort Trat,Ban Bang Pit Lang,Double or Twin Room with Sea View,"3 beds (2 singles, 1 large double)",Good,US$37,7.7,63 reviews
79,Sand Sea Resort Railay Beach,Railay Beach,Grand Deluxe Double Room (Sunset Wing),1 extra-large double bed,Good,US$187,7.5,"1,112 reviews"
81,Outrigger Khao Lak Beach Resort - SHA Extra Plus,"Bangsak Beach, Khao Lak",Deluxe Garden Balcony - King Bed,1 extra-large double bed,Superb,US$214,9.1,341 reviews
83,Sukantara Cascade Resort and Spa,Mae Rim,Deluxe Jacuzzi Panorama,1 large double bed,Fabulous,US$126,8.9,69 reviews
86,I love phants Lodge,Ban Huai Thawai,Double Room with Mountain View,1 extra-large double bed,Fabulous,US$112,8.9,71 reviews
87,The Mud - SHA Plus Certified,Ban Bang Po,Deluxe Villa,Entire villa • 1 bedroom • 1 bathroom • 430.6feet²1 extra-large double bed,Very good,US$72,8.5,364 reviews
88,Baansuan Resort,Don Sak,Superior Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 193.8feet²1 large double bed,Good,US$19,7.9,289 reviews
89,Khunyuam Resort,Ban Khun Yuam,Budget Double Room,1 extra-large double bed,Fabulous,US$23,8.7,184 reviews
90,Oceanfront Beach Resort - SHA Extra Plus,"Kalim Beach, Patong Beach",Special Offer Ocean Room Partial Seaview,Multiple bed types,Very good,US$183,8.3,"1,691 reviews"
92,Mövenpick Resort Khao Yai,Ban Wang Sai,Deluxe King Room,1 double bed,Good,US$122,7.6,402 reviews
94,Magic House - No Pets Allowed,Chumphon,Standard Room,1 extra-large double bed,Very good,US$41,8.4,383 reviews
95,Amari Phuket,Patong Beach,One Bedroom Suite Ocean Coral Lounge,Private suite1 large double bed,Very good,US$359,8.3,"1,153 reviews"
96,X10 Khaolak Resort SHA Plus,Khao Lak,Deluxe Double or Twin Room - Family Wing,Beds: 1 double or 2 singles,Fabulous,US$205,8.9,168 reviews
97,Sea and Sea Villa Sangaroon,Ban Nam Tok,Deluxe Double or Twin Room with Garden View,Multiple bed types,Very good,US$83,8.4,33 reviews
98,Rancho Charnvee Resort & Country Club Khaoyai,Pak Chong,Superior Room,Beds: 1 double or 2 singles,Very good,US$108,8.4,186 reviews
101,Kept Bangsaray Hotel Pattaya,Bang Sare,Double Room with Sea View,1 extra-large double bed,Fabulous,US$167,8.7,113 reviews
102,Angsana Laguna Phuket - SHA Extra Plus,"Laguna Phuket, Bang Tao Beach",Laguna Room,Multiple bed types,Very good,US$425,8.2,381 reviews
105,Hideaway Resort Banchang,Ban Chang,Deluxe Studio,Entire studio • 1 bathroom • 344.4feet²1 large double bed,Exceptional,US$50,9.5,46 reviews
108,Mira Montra Resort Koh Mak - SHA Plus,Ko Mak,Hilltop Sea View Room,1 extra-large double bed,Very good,US$71,8.2,229 reviews
109,"Bandara Resort and Spa, Samui","Fisherman Village, Bophut",Tropical Deluxe Room,1 extra-large double bed,Very good,US$151,8.3,195 reviews
110,Renaissance Phuket Resort & Spa,Mai Khao Beach,"Deluxe Room, 1 King, Garden View",1 extra-large double bed,Superb,US$339,9.1,575 reviews
111,Baan Sabaijai Resort & Rehab,That Phanom,Small Double Room,1 large double bed,Very good,US$20,8.1,57 reviews
112,"Sarikantang Resort & Spa, Koh Phangan","Leela Beach, Haad Rin",Deluxe Double or Twin Room with Pool Access,1 large double bed,Very good,US$156,8.4,721 reviews
113,The Spa Koh Chang Resort,Ko Chang,Deluxe Double Room with Bath,1 large double bed,Very good,US$110,8.4,94 reviews
114,Hilton Phuket Arcadia Resort & Spa - SHA Plus,Karon Beach,Twin Deluxe Garden View,2 single beds,Very good,US$296,8.5,"1,201 reviews"
115,Phu Fahsai Homestay,Mon Jam,Tent,Tent1 large double bed,Very good,US$48,8.1,310 reviews
117,Chatrium Golf Resort Soi Dao Chanthaburi,Ban Thap Sai,Deluxe Mountain View Room,Beds: 1 double or 2 singles,Fabulous,US$69,8.7,55 reviews
118,"Holiday Inn Resort Vana Nava Hua Hin, an IHG Hotel - SHA Extra Plus",Hua Hin,Standard King Room with Mountain View,1 extra-large double bed,Fabulous,US$131,8.6,575 reviews
121,Marriott's Mai Khao Beach - Phuket,Mai Khao Beach,Two-Bedroom Apartment with Balcony and Resort View,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 1,076.4feet²4 beds (2 doubles, 1 extra-large double, 1 sofa bed)",Superb,US$893,9.3,122 reviews
122,Sea Valley Resort,Lipa Noi,Garden view Villa with Private Pool,Entire villa • 1 bedroom • 1 living room • 1 bathroom • 376.7feet²1 large double bed,Fabulous,US$102,8.6,380 reviews
124,Summit Windmill Golf Residence,Bangna,Two-Bedroom Residence,Multiple bed types,Very good,US$100,8.3,578 reviews
125,Renaissance Phuket Resort & Spa,Mai Khao Beach,"Deluxe Room, 1 King, Garden View",1 extra-large double bed,Superb,US$339,9.1,575 reviews
126,Baan Sabaijai Resort & Rehab,That Phanom,Small Double Room,1 large double bed,Very good,US$20,8.1,57 reviews
127,"Sarikantang Resort & Spa, Koh Phangan","Leela Beach, Haad Rin",Deluxe Double or Twin Room with Pool Access,1 large double bed,Very good,US$156,8.4,721 reviews
128,The Spa Koh Chang Resort,Ko Chang,Deluxe Double Room with Bath,1 large double bed,Very good,US$110,8.4,94 reviews
